METADATA:,,,,,,,,,,
Block Runtime,Experiment Seed,Subject,,,,,,,,
ESQ,1985.931544,,Future_response,1,Experience Sampling Questions,1,3895694,,Marker Started at 7,Reading Task
ESQ,1985.932678,,Problem_start,,Experience Sampling Questions,1,3895694,,,Reading Task
ESQ,1993.263615,,Problem_response,3,Experience Sampling Questions,1,3895694,,Marker Started at 4,Reading Task
ESQ,1993.264767,,Focus_start,,Experience Sampling Questions,1,3895694,,,Reading Task
ESQ,2003.414895,,Focus_response,2.3,Experience Sampling Questions,1,3895694,,Marker Started at 4,Reading Task
EXPERIMENT DATA:,Reading Task,,,,,,,,,
Start Time,2003.429821,,,,,,,,,
Reading start,2003.43498,,,,Reading Task,1,3895694,,,
Reading trial start,2007.922599,,,,Reading Task,1,3895694,,"['Horses', 'can', 'perform a', 'number of', 'mental', 'challenges', 'that include', 'food', 'procurement', 'and', 'identification', 'of individuals', 'within', 'a social', 'system.']",
Reading trial ended,2022.479737,,,,Reading Task,1,3895694,,,
Reading trial start,2022.51149,,,,Reading Task,1,3895694,,"['In many', 'countries,', 'driving', 'a truck', 'requires', 'a special', 'driving', 'license, the', 'requirements', 'and', 'limitations', 'vary', 'with', 'each', 'jurisdiction.']",
Reading trial ended,2037.64645,,,,Reading Task,1,3895694,,,
Reading trial start,2037.664354,,,,Reading Task,1,3895694,,"['Since', 'the early', '1900s,', 'coloured', 'scarves', 'with', 'tassles', 'have been', 'worn by', 'fans of', 'association', 'football', 'teams', 'across', 'the world.']",
Reading trial ended,2052.229968,,,,Reading Task,1,3895694,,,
Reading trial start,2052.247441,,,,Reading Task,1,3895694,,"['Windows', 'often have', 'movable', 'coverings', 'such as', 'blinds or', 'curtains', 'to keep', 'light', 'out,', 'provide', 'additional', 'insulation,', 'and ensure', 'privacy.']",
Reading trial ended,2066.811641,,,,Reading Task,1,3895694,,,
Reading trial start,2066.8306,,,,Reading Task,1,3895694,,"['Ankle', 'problems', 'are very', 'common', 'and', 'mild', 'pain', 'can often', 'be', 'treated', 'at home', 'though', 'it takes', 'time', 'to cure.']",
Reading trial ended,2081.394641,,,,Reading Task,1,3895694,,,
Reading trial start,2081.412396,,,,Reading Task,1,3895694,,"['Dollar', 'is the', 'currency', 'name for', 'more', 'than', 'twenty', 'countries,', 'while', 'the U.S.', 'dollar is', ""the world's"", 'primary', 'reserve', 'currency.']",
Reading trial ended,2096.544145,,,,Reading Task,1,3895694,,,
Reading trial start,2096.56254,,,,Reading Task,1,3895694,,"['Intelligence', 'is', 'most', 'often', 'studied', 'in humans', 'but', 'has also', 'been', 'observed', 'in animals,', 'such as', 'dolphins', 'and', 'elephants.']",
Reading trial ended,2111.127071,,,,Reading Task,1,3895694,,,
EXPERIMENT DATA:,Experience Sampling Questions,,,,,,,,,
Start Time,2111.131139,,,,,,,,,
ESQ,2114.15507,,Deliberate_start,,Experience Sampling Questions,1,3895694,,,Reading Task
ESQ,2119.543043,,Deliberate_response,2.2,Experience Sampling Questions,1,3895694,,Marker Started at 5,Reading Task
ESQ,2119.544215,,Absorption_start,,Experience Sampling Questions,1,3895694,,,Reading Task
ESQ,2124.759928,,Absorption_response,9.1,Experience Sampling Questions,1,3895694,,Marker Started at 4,Reading Task
ESQ,2124.761156,,Knowledge_start,,Experience Sampling Questions,1,3895694,,,Reading Task
ESQ,2129.609955,,Knowledge_response,2.2,Experience Sampling Questions,1,3895694,,Marker Started at 10,Reading Task
ESQ,2129.611102,,Past_start,,Experience Sampling Questions,1,3895694,,,Reading Task
ESQ,2132.610753,,Past_response,1,Experience Sampling Questions,1,3895694,,Marker Started at 3,Reading Task
ESQ,2132.611096,,Focus_start,,Experience Sampling Questions,1,3895694,,,Reading Task
ESQ,2145.85941,,Focus_response,1,Experience Sampling Questions,1,3895694,,Marker Started at 8,Reading Task
ESQ,2145.860625,,Distracting_start,,Experience Sampling Questions,1,3895694,,,Reading Task
ESQ,2150.592678,,Distracting_response,1,Experience Sampling Questions,1,3895694,,Marker Started at 8,Reading Task
ESQ,2150.593817,,Detailed_start,,Experience Sampling Questions,1,3895694,,,Reading Task
ESQ,2154.760315,,Detailed_response,9,Experience Sampling Questions,1,3895694,,Marker Started at 8,Reading Task
ESQ,2154.761476,,Intrusive_start,,Experience Sampling Questions,1,3895694,,,Reading Task
ESQ,2158.242517,,Intrusive_response,1,Experience Sampling Questions,1,3895694,,Marker Started at 4,Reading Task
ESQ,2158.243669,,Other_start,,Experience Sampling Questions,1,3895694,,,Reading Task
ESQ,2161.624818,,Other_response,1,Experience Sampling Questions,1,3895694,,Marker Started at 4,Reading Task
ESQ,2161.625949,,Future_start,,Experience Sampling Questions,1,3895694,,,Reading Task
ESQ,2165.442749,,Future_response,1,Experience Sampling Questions,1,3895694,,Marker Started at 5,Reading Task
ESQ,2165.444015,,Problem_start,,Experience Sampling Questions,1,3895694,,,Reading Task
ESQ,2170.674996,,Problem_response,1,Experience Sampling Questions,1,3895694,,Marker Started at 9,Reading Task
ESQ,2170.67616,,Emotion_start,,Experience Sampling Questions,1,3895694,,,Reading Task
ESQ,2174.658768,,Emotion_response,6.4,Experience Sampling Questions,1,3895694,,Marker Started at 8,Reading Task
ESQ,2174.659913,,Self_start,,Experience Sampling Questions,1,3895694,,,Reading Task
ESQ,2178.741814,,Self_response,1,Experience Sampling Questions,1,3895694,,Marker Started at 10,Reading Task
ESQ,2178.74295,,Modality_start,,Experience Sampling Questions,1,3895694,,,Reading Task
ESQ,2183.190614,,Modality_response,10,Experience Sampling Questions,1,3895694,,Marker Started at 6,Reading Task
EXPERIMENT DATA:,You Task,,,,,,,,,
Start Time,2201.909642,,,,,,,,,
Self_Task_Start,2220.381203,,,,You Task,1,3895694,,,
Start_of_orderly,2222.956659,,,,You Task,1,3895694,,,
End_of_orderly,2222.956659,,,,You Task,1,3895694,right,,
Start_of_unselfish,2227.123492,,,,You Task,1,3895694,,,
End_of_unselfish,2227.123492,,,,You Task,1,3895694,right,,
Start_of_courteous,2234.689521,,,,You Task,1,3895694,,,
End_of_courteous,2234.689521,,,,You Task,1,3895694,right,,
Start_of_self -centered,2238.33959,,,,You Task,1,3895694,,,
End_of_self -centered,2238.33959,,,,You Task,1,3895694,left,,
Start_of_nosey,2241.889511,,,,You Task,1,3895694,,,
End_of_nosey,2241.889511,,,,You Task,1,3895694,right,,
Start_of_moody,2245.456167,,,,You Task,1,3895694,,,
End_of_moody,2245.456167,,,,You Task,1,3895694,right,,
Start_of_jealous,2248.805863,,,,You Task,1,3895694,,,
End_of_jealous,2248.805863,,,,You Task,1,3895694,right,,
Start_of_loud-mouthed,2252.055695,,,,You Task,1,3895694,,,
End_of_loud-mouthed,2252.055695,,,,You Task,1,3895694,left,,
Start_of_cheerful,2256.455742,,,,You Task,1,3895694,,,
End_of_cheerful,2256.455742,,,,You Task,1,3895694,right,,
Start_of_sensible,2260.38898,,,,You Task,1,3895694,,,
End_of_sensible,2260.38898,,,,You Task,1,3895694,right,,
Start_of_mean,2263.938923,,,,You Task,1,3895694,,,
End_of_mean,2263.938923,,,,You Task,1,3895694,left,,
Start_of_self-critical,2267.372039,,,,You Task,1,3895694,,,
End_of_self-critical,2267.372039,,,,You Task,1,3895694,right,,
Start_of_idealistic,2270.788705,,,,You Task,1,3895694,,,
End_of_idealistic,2270.788705,,,,You Task,1,3895694,None,,
Start_of_angry,2278.88847,,,,You Task,1,3895694,,,
End_of_angry,2278.88847,,,,You Task,1,3895694,left,,
Start_of_responsible,2282.571664,,,,You Task,1,3895694,,,
End_of_responsible,2282.571664,,,,You Task,1,3895694,right,,
Start_of_sloppy,2285.921372,,,,You Task,1,3895694,,,
End_of_sloppy,2285.921372,,,,You Task,1,3895694,left,,
Start_of_unimaginative,2289.238006,,,,You Task,1,3895694,,,
End_of_unimaginative,2289.238006,,,,You Task,1,3895694,left,,
Start_of_prompt,2292.771353,,,,You Task,1,3895694,,,
End_of_prompt,2292.771353,,,,You Task,1,3895694,left,,
Start_of_unpredictable,2298.087801,,,,You Task,1,3895694,,,
End_of_unpredictable,2298.087801,,,,You Task,1,3895694,left,,
Start_of_witty,2301.620865,,,,You Task,1,3895694,,,
End_of_witty,2301.620865,,,,You Task,1,3895694,right,,
Start_of_narrow-minded,2304.920829,,,,You Task,1,3895694,,,
End_of_narrow-minded,2304.920829,,,,You Task,1,3895694,left,,
EXPERIMENT DATA:,Experience Sampling Questions,,,,,,,,,
Start Time,2306.260257,,,,,,,,,
ESQ,2312.366512,,Future_start,,Experience Sampling Questions,1,3895694,,,You Task
ESQ,2316.221242,,Future_response,1,Experience Sampling Questions,1,3895694,,Marker Started at 2,You Task
ESQ,2316.22241,,Distracting_start,,Experience Sampling Questions,1,3895694,,,You Task
ESQ,2321.320356,,Distracting_response,1,Experience Sampling Questions,1,3895694,,Marker Started at 7,You Task
ESQ,2321.321506,,Modality_start,,Experience Sampling Questions,1,3895694,,,You Task
ESQ,2325.40457,,Modality_response,10,Experience Sampling Questions,1,3895694,,Marker Started at 7,You Task
ESQ,2325.405707,,Detailed_start,,Experience Sampling Questions,1,3895694,,,You Task
ESQ,2330.687997,,Detailed_response,6.4,Experience Sampling Questions,1,3895694,,Marker Started at 8,You Task
ESQ,2330.689146,,Deliberate_start,,Experience Sampling Questions,1,3895694,,,You Task
ESQ,2339.16954,,Deliberate_response,5,Experience Sampling Questions,1,3895694,,Marker Started at 3,You Task
ESQ,2339.170675,,Emotion_start,,Experience Sampling Questions,1,3895694,,,You Task
ESQ,2344.952787,,Emotion_response,6.8,Experience Sampling Questions,1,3895694,,Marker Started at 3,You Task
ESQ,2344.953923,,Other_start,,Experience Sampling Questions,1,3895694,,,You Task
ESQ,2349.836445,,Other_response,2.2,Experience Sampling Questions,1,3895694,,Marker Started at 10,You Task
ESQ,2349.83761,,Self_start,,Experience Sampling Questions,1,3895694,,,You Task
ESQ,2352.8368,,Self_response,8.8,Experience Sampling Questions,1,3895694,,Marker Started at 8,You Task
ESQ,2352.837947,,Focus_start,,Experience Sampling Questions,1,3895694,,,You Task
ESQ,2357.303411,,Focus_response,1,Experience Sampling Questions,1,3895694,,Marker Started at 3,You Task
ESQ,2357.304546,,Intrusive_start,,Experience Sampling Questions,1,3895694,,,You Task
ESQ,2363.151954,,Intrusive_response,2.3,Experience Sampling Questions,1,3895694,,Marker Started at 10,You Task
ESQ,2363.153124,,Knowledge_start,,Experience Sampling Questions,1,3895694,,,You Task
ESQ,2369.01989,,Knowledge_response,9.5,Experience Sampling Questions,1,3895694,,Marker Started at 8,You Task
ESQ,2369.020951,,Absorption_start,,Experience Sampling Questions,1,3895694,,,You Task
ESQ,2375.868974,,Absorption_response,10,Experience Sampling Questions,1,3895694,,Marker Started at 10,You Task
ESQ,2375.870016,,Past_start,,Experience Sampling Questions,1,3895694,,,You Task
ESQ,2380.468088,,Past_response,9,Experience Sampling Questions,1,3895694,,Marker Started at 9,You Task
ESQ,2380.46839,,Problem_start,,Experience Sampling Questions,1,3895694,,,You Task
ESQ,2387.750906,,Problem_response,2.2,Experience Sampling Questions,1,3895694,,Marker Started at 10,You Task
EXPERIMENT DATA:,You Task,,,,,,,,,
Start Time,2387.765627,,,,,,,,,
Self_Task_Start,2396.177283,,,,You Task,1,3895694,,,
Start_of_overcritical,2398.751275,,,,You Task,1,3895694,,,
End_of_overcritical,2398.751275,,,,You Task,1,3895694,left,,
Start_of_absent-minded,2402.634328,,,,You Task,1,3895694,,,
End_of_absent-minded,2402.634328,,,,You Task,1,3895694,left,,
Start_of_creative,2406.150676,,,,You Task,1,3895694,,,
End_of_creative,2406.150676,,,,You Task,1,3895694,right,,
Start_of_irritable,2409.417267,,,,You Task,1,3895694,,,
End_of_irritable,2409.417267,,,,You Task,1,3895694,right,,
Start_of_irritating,2413.117496,,,,You Task,1,3895694,,,
End_of_irritating,2413.117496,,,,You Task,1,3895694,left,,
Start_of_sensible,2416.467232,,,,You Task,1,3895694,,,
End_of_sensible,2416.467232,,,,You Task,1,3895694,right,,
Start_of_practical,2419.600604,,,,You Task,1,3895694,,,
End_of_practical,2419.600604,,,,You Task,1,3895694,right,,
Start_of_sloppy,2422.917182,,,,You Task,1,3895694,,,
End_of_sloppy,2422.917182,,,,You Task,1,3895694,left,,
Start_of_perfectionistic,2426.133692,,,,You Task,1,3895694,,,
End_of_perfectionistic,2426.133692,,,,You Task,1,3895694,right,,
Start_of_disobedient,2429.916961,,,,You Task,1,3895694,,,
End_of_disobedient,2429.916961,,,,You Task,1,3895694,left,,
Start_of_indifferent,2433.416687,,,,You Task,1,3895694,,,
End_of_indifferent,2433.416687,,,,You Task,1,3895694,left,,
Start_of_honest,2437.283337,,,,You Task,1,3895694,,,
End_of_honest,2437.283337,,,,You Task,1,3895694,right,,
Start_of_well-mannered,2440.699918,,,,You Task,1,3895694,,,
End_of_well-mannered,2440.699918,,,,You Task,1,3895694,right,,
Start_of_thrifty,2444.133151,,,,You Task,1,3895694,,,
End_of_thrifty,2444.133151,,,,You Task,1,3895694,None,,
Start_of_self-assured,2452.232939,,,,You Task,1,3895694,,,
End_of_self-assured,2452.232939,,,,You Task,1,3895694,right,,
Start_of_worrier,2457.782803,,,,You Task,1,3895694,,,
End_of_worrier,2457.782803,,,,You Task,1,3895694,right,,
Start_of_easygoing,2461.082636,,,,You Task,1,3895694,,,
End_of_easygoing,2461.082636,,,,You Task,1,3895694,right,,
Start_of_friendly,2465.098965,,,,You Task,1,3895694,,,
End_of_friendly,2465.098965,,,,You Task,1,3895694,right,,
Start_of_bashful,2468.282349,,,,You Task,1,3895694,,,
End_of_bashful,2468.282349,,,,You Task,1,3895694,left,,
Start_of_prejudiced,2472.948908,,,,You Task,1,3895694,,,
End_of_prejudiced,2472.948908,,,,You Task,1,3895694,left,,
Start_of_malicious,2476.498566,,,,You Task,1,3895694,,,
End_of_malicious,2476.498566,,,,You Task,1,3895694,left,,
Start_of_competent,2479.965335,,,,You Task,1,3895694,,,
End_of_competent,2479.965335,,,,You Task,1,3895694,right,,
EXPERIMENT DATA:,Experience Sampling Questions,,,,,,,,,
Start Time,2481.671358,,,,,,,,,
ESQ,2484.111039,,Self_start,,Experience Sampling Questions,1,3895694,,,You Task
ESQ,2490.214878,,Self_response,10,Experience Sampling Questions,1,3895694,,Marker Started at 9,You Task
ESQ,2490.216041,,Intrusive_start,,Experience Sampling Questions,1,3895694,,,You Task
ESQ,2496.298532,,Intrusive_response,2,Experience Sampling Questions,1,3895694,,Marker Started at 2,You Task
ESQ,2496.298837,,Absorption_start,,Experience Sampling Questions,1,3895694,,,You Task
ESQ,2499.682602,,Absorption_response,10,Experience Sampling Questions,1,3895694,,Marker Started at 8,You Task
ESQ,2499.683792,,Other_start,,Experience Sampling Questions,1,3895694,,,You Task
ESQ,2503.76437,,Other_response,1,Experience Sampling Questions,1,3895694,,Marker Started at 5,You Task
ESQ,2503.765549,,Knowledge_start,,Experience Sampling Questions,1,3895694,,,You Task
ESQ,2509.865345,,Knowledge_response,8.9,Experience Sampling Questions,1,3895694,,Marker Started at 4,You Task
ESQ,2509.866541,,Deliberate_start,,Experience Sampling Questions,1,3895694,,,You Task
ESQ,2516.715434,,Deliberate_response,4,Experience Sampling Questions,1,3895694,,Marker Started at 8,You Task
ESQ,2516.716605,,Modality_start,,Experience Sampling Questions,1,3895694,,,You Task
ESQ,2519.580725,,Modality_response,10,Experience Sampling Questions,1,3895694,,Marker Started at 9,You Task
ESQ,2519.581952,,Future_start,,Experience Sampling Questions,1,3895694,,,You Task
ESQ,2523.580465,,Future_response,1,Experience Sampling Questions,1,3895694,,Marker Started at 5,You Task
ESQ,2523.581622,,Distracting_start,,Experience Sampling Questions,1,3895694,,,You Task
ESQ,2527.813975,,Distracting_response,1,Experience Sampling Questions,1,3895694,,Marker Started at 5,You Task
ESQ,2527.814298,,Emotion_start,,Experience Sampling Questions,1,3895694,,,You Task
ESQ,2536.464587,,Emotion_response,4.6,Experience Sampling Questions,1,3895694,,Marker Started at 10,You Task
ESQ,2536.465729,,Detailed_start,,Experience Sampling Questions,1,3895694,,,You Task
