METADATA:,,,,,,,,,,
Block Runtime,Experiment Seed,Subject,,,,,,,,
90,8707290,subject010,,,,,,,,
Time after setup,7.9334354,,,,,,,,,
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
ESQ,594.475308,,Future_response,1,Experience Sampling Questions,1,8707290,,Marker Started at 6,Memory Task
ESQ,594.4765025,,Emotion_start,,Experience Sampling Questions,1,8707290,,,Memory Task
ESQ,597.1250213,,Emotion_response,10,Experience Sampling Questions,1,8707290,,Marker Started at 8,Memory Task
ESQ,597.1262082,,Modality_start,,Experience Sampling Questions,1,8707290,,,Memory Task
ESQ,601.8582767,,Modality_response,4.7,Experience Sampling Questions,1,8707290,,Marker Started at 6,Memory Task
ESQ,601.8594641,,Knowledge_start,,Experience Sampling Questions,1,8707290,,,Memory Task
ESQ,607.0915782,,Knowledge_response,10,Experience Sampling Questions,1,8707290,,Marker Started at 2,Memory Task
ESQ,607.0927678,,Other_start,,Experience Sampling Questions,1,8707290,,,Memory Task
ESQ,611.0741945,,Other_response,5.8,Experience Sampling Questions,1,8707290,,Marker Started at 5,Memory Task
ESQ,611.0745526,,Focus_start,,Experience Sampling Questions,1,8707290,,,Memory Task
ESQ,613.9749541,,Focus_response,10,Experience Sampling Questions,1,8707290,,Marker Started at 10,Memory Task
ESQ,613.9761663,,Intrusive_start,,Experience Sampling Questions,1,8707290,,,Memory Task
ESQ,616.924843,,Intrusive_response,1,Experience Sampling Questions,1,8707290,,Marker Started at 4,Memory Task
ESQ,616.926033,,Absorption_start,,Experience Sampling Questions,1,8707290,,,Memory Task
ESQ,620.6249859,,Absorption_response,7.1,Experience Sampling Questions,1,8707290,,Marker Started at 9,Memory Task
ESQ,620.6261053,,Self_start,,Experience Sampling Questions,1,8707290,,,Memory Task
ESQ,623.9083271,,Self_response,5.8,Experience Sampling Questions,1,8707290,,Marker Started at 7,Memory Task
EXPERIMENT DATA:,Memory Task,,,,,,,,,
Start Time,623.9224441,,,,,,,,,
Memory Task Starting,624.3144768,,,,Memory Task,1,8707290,,,
Memory Prompt Shown,631.8956008,,,,Memory Task,1,8707290,,,
Text Input Submitted,637.0593307,,,,Memory Task,1,8707290,,,
Ready Check Started,641.0779758,,,,Memory Task,1,8707290,,,
Ready Check Ended,643.5259952,,,,Memory Task,1,8707290,,,
Blank Memory Recall Period Started,663.5410778,,,,Memory Task,1,8707290,,,
Blank Memory Recall Period Ended,664.5578271,,,,Memory Task,1,8707290,,,
EXPERIMENT DATA:,Experience Sampling Questions,,,,,,,,,
Start Time,665.5745659,,,,,,,,,
